OTU	Blank	Elos05	Elos06	Elos07	Elos08	Elos09	Elos01	Elos10	Elos11	Elos12	Elos13	Elos02	Elos03	Elos04	Classification
Otu1327	0	0	12	9	0	0	10	2	0	0	2	0	5	9	Main genome;Bacteria;Verrucomicrobia;Verrucomicrobiae;Opitutales;Puniceicoccaceae;Cerasicoccus
Otu1326	0	0	4	1	0	1	2	0	0	0	0	0	11	0	Main genome;Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Trueperaceae;Truepera
Otu1325	0	0	6	1	0	0	1	0	0	0	0	0	2	0	Main genome;Bacteria
Otu1324	0	5	0	0	0	0	1	1	0	0	1	0	0	0	Main genome;Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;AKAU3564 sediment group
Otu2663	0	0	0	0	0	0	0	1	0	0	1	0	0	0	Main genome;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Sediminispirochaeta
Otu2662	0	0	0	0	0	0	0	1	0	0	1	0	0	0	Main genome;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta 2
Otu2661	0	0	0	0	0	0	0	1	0	0	0	1	0	0	Main genome;Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;AKAU3564 sediment group
Otu2660	0	0	0	0	0	0	0	5	0	17	19	0	0	0	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfotignum
Otu2667	0	0	0	0	0	0	0	1	0	0	1	0	0	0	Main genome;Bacteria;Kiritimatiellaeota;Kiritimatiellae;WCHB1-41
Otu2666	0	0	0	0	0	0	0	1	0	1	2	0	0	0	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae
Otu2665	0	0	0	0	0	0	0	1	0	0	0	1	0	0	Main genome;Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;AKAU3564 sediment group
Otu2664	0	0	0	0	0	0	0	1	0	0	1	0	0	0	Main genome;Archaea;Nanoarchaeaeota;Woesearchaeia
Otu310	0	14	10	4	0	38	7	0	0	527	0	2	0	164	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Bradymonadales;Bradymonadaceae
Otu311	0	1	0	0	0	77	4	1	0	349	0	2	0	0	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiliaceae
Otu2669	0	0	0	0	0	0	0	1	0	0	1	0	0	0	Main genome;Bacteria;Planctomycetes;vadinHA49
Otu2668	0	0	0	0	0	0	0	1	0	0	1	0	0	0	Main genome;Bacteria;Dependentiae;Babeliae;Babeliales
Otu314	0	16	9	23	0	76	54	9	0	146	2	29	11	49	Main genome;Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloferacaceae;Salinigranum
Otu315	0	100	0	0	0	0	17	186	0	65	468	34	0	0	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;Lentimicrobiaceae
Otu316	0	22	0	2	0	17	27	38	0	13	273	61	0	0	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;ST-12K33
Otu317	0	14	0	4	0	0	44	117	0	6	121	52	0	1	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;SB-5
Otu798	0	0	2	1	0	0	1	0	0	0	0	0	7	0	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;P3OB-42
Otu799	0	1	26	9	0	16	4	20	0	11	3	1	84	0	Main genome;Bacteria;Bacteroidetes;Rhodothermia;Balneolales;Balneolaceae
Otu794	0	40	0	0	0	2	15	17	0	32	1	150	0	16	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfohalobiaceae;Desulfovermiculus
Otu795	0	11	0	0	0	0	5	0	0	5	0	29	0	0	Main genome;Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloferacaceae;Haloferax
Otu796	0	53	0	0	0	21	40	11	0	80	27	105	0	28	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiliaceae
Otu797	0	0	0	0	0	0	2	0	0	0	0	13	0	0	Main genome;Bacteria;Patescibacteria;ABY1
Otu790	0	23	0	0	0	0	7	0	0	13	0	70	0	3	Main genome;Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Arcobacteraceae;Arcobacter
Otu791	0	5	0	0	0	3	0	4	0	12	0	19	0	0	Main genome;Archaea
Otu792	0	37	0	0	0	0	1	0	0	0	0	48	0	0	Main genome;Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Thiovulaceae;Sulfurimonas
Otu793	0	4	0	1	0	6	24	0	0	3	0	39	0	1	Main genome;Bacteria;Lentisphaerae;Oligosphaeria;Oligosphaerales;Lenti-02
Otu1037	0	0	0	0	0	5	1	11	0	1	8	1	0	0	Main genome;Bacteria;Lentisphaerae;Oligosphaeria;Oligosphaerales;Oligosphaeraceae;SBZC-1223
Otu1036	0	0	0	0	0	0	0	7	0	1	5	1	0	0	Main genome;Bacteria;Kiritimatiellaeota;Kiritimatiellae;WCHB1-41
Otu1035	0	4	0	0	0	0	7	33	0	1	39	17	0	0	Main genome;Bacteria;BRC1
Otu1034	0	1	0	0	0	0	10	12	0	0	0	4	0	0	Main genome;Bacteria;Planctomycetes;vadinHA49
Otu1033	0	1	0	0	0	5	0	38	0	23	4	0	0	0	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae
Otu1032	0	0	0	0	0	0	0	3	0	0	0	0	0	0	Main genome;Bacteria;Kiritimatiellaeota;Kiritimatiellae;WCHB1-41
Otu1031	0	10	0	0	0	0	0	21	0	23	16	5	0	0	Main genome;Bacteria
Otu1030	0	1	0	0	0	0	0	10	0	11	0	0	0	0	Main genome;Bacteria;Planctomycetes;Phycisphaerae;CCM11a
Otu556	0	7	0	0	0	17	0	0	0	37	10	7	0	0	Main genome;Bacteria;Patescibacteria;Microgenomatia
Otu557	0	2	0	0	0	7	0	0	0	25	1	7	0	0	Main genome;Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halanaerobiaceae;Halarsenatibacter
Otu554	0	0	0	0	0	0	0	0	0	9	0	0	0	0	No hits
Otu555	0	3	0	0	0	1	3	2	0	67	1	9	0	0	Main genome;Bacteria;BRC1
Otu552	0	0	0	0	0	23	0	0	0	101	0	0	0	0	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfohalobiaceae;Desulfovermiculus
Otu553	0	0	0	0	0	0	0	0	0	32	0	0	0	0	Main genome;Bacteria;Bacteroidetes;Rhodothermia;Rhodothermales;Rhodothermaceae
Otu1039	0	2	0	0	0	0	0	17	0	0	3	2	0	0	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;MidBa8
Otu1038	0	3	0	0	0	0	0	23	0	8	5	22	0	0	Main genome;Bacteria;Planctomycetes;vadinHA49
Otu776	0	0	0	0	0	0	0	17	0	0	39	0	0	0	Main genome;Bacteria;Omnitrophicaeota
Otu777	0	22	0	0	0	1	0	21	0	3	54	17	0	0	Main genome;Bacteria;Thermotogae;Thermotogae (kingdom);Petrotogales;Petrotogaceae;SC103
Otu774	0	0	0	8	0	0	2	10	0	1	11	0	0	3	Main genome;Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Rubinisphaeraceae;Rubinisphaera
Otu775	0	3	0	0	0	0	0	2	0	1	75	0	0	0	Main genome;Bacteria
Otu772	0	4	0	0	0	0	0	17	0	0	29	11	0	0	Main genome;Archaea;Euryarchaeota;Thermococci;Methanofastidiosales
Otu773	0	0	0	0	0	0	0	0	0	0	22	0	0	0	Main genome;Bacteria;Planctomycetes;Phycisphaerae;mle1-8
Otu770	0	1	0	0	0	0	3	0	0	3	52	9	0	0	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae
Otu771	0	4	0	0	0	0	0	6	0	0	73	2	0	0	Main genome;Bacteria
Otu958	0	0	0	0	0	0	0	3	0	1	2	5	0	0	Main genome;Bacteria;Chlamydiae;LD1-PA32
Otu959	0	0	0	0	0	0	0	6	0	0	3	0	0	0	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prolixibacteraceae
Otu778	0	0	0	0	0	0	0	0	0	0	17	0	0	0	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae
Otu779	0	1	0	0	0	12	0	18	0	0	26	10	0	0	Main genome;Bacteria;Chloroflexi;Ktedonobacteria;MVP-21
Otu29	0	1	0	0	0	0	0	762	0	0	1349	0	0	0	Main genome;Archaea;Diapherotrites;Iainarchaeia
Otu107	0	86	1	40	0	4	177	156	0	78	457	123	1	28	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiliaceae
Otu1849	0	0	0	0	0	0	0	2	0	0	0	0	0	0	Main genome;Bacteria;BRC1
Otu2409	0	1	0	0	0	0	1	1	0	0	0	1	0	0	Main genome;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-012
Otu2408	0	1	0	0	0	1	0	0	0	0	0	0	0	0	Main genome;Bacteria;Patescibacteria;ABY1
Otu28	0	8	0	0	0	0	63	1345	0	0	1297	8	0	2	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiliaceae
Otu2403	0	3	0	0	0	0	2	0	0	0	0	1	0	9	Main genome;Archaea;Nanoarchaeaeota;Nanohaloarchaeia;Nanohaloarchaeales;Nanohaloarchaeaceae
Otu2402	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Main genome;Archaea;Nanoarchaeaeota;Nanohaloarchaeia;Nanohaloarchaeales;Nanohaloarchaeaceae
Otu2401	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Unknown Enterobacteriaceae order 1
Otu2400	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Main genome;Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloferacaceae
Otu2407	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Main genome;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta 2
Otu2406	0	9	3	4	0	0	13	0	0	0	0	7	4	18	Main genome;Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloferacaceae;Halobaculum
Otu2405	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Main genome;Archaea;Nanoarchaeaeota;Nanohaloarchaeia;Nanohaloarchaeales;Nanohaloarchaeaceae
Otu2404	0	0	0	0	0	1	0	0	0	2	0	0	0	3	Main genome;Bacteria;Bacteroidetes;Rhodothermia;Rhodothermales;Rhodothermaceae;Salinibacter
Otu174	0	12	22	220	0	27	252	243	0	94	63	40	16	176	Main genome;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta 2
Otu175	0	0	0	0	0	0	0	422	0	2	90	0	0	0	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Cryomorphaceae;Owenweeksia
Otu176	0	4	0	0	0	31	4	314	0	38	168	15	0	0	Main genome;Bacteria;Bacteroidetes;Ignavibacteria;OPB56
Otu177	0	202	0	0	1	31	1	368	0	152	108	171	0	0	Main genome;Bacteria;Chloroflexi;Dehalococcoidia;GIF9;AB-539-J10
Otu170	0	0	0	0	0	124	0	0	0	0	6	0	0	0	Main genome;Bacteria;Patescibacteria;ABY1
Otu171	0	0	0	0	0	229	0	6	0	48	3	11	0	0	Main genome;Bacteria
Otu172	0	38	0	3	0	6	20	365	0	21	174	47	0	0	Main genome;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta 2
Otu173	0	2	25	104	0	0	17	245	0	0	122	3	40	11	Main genome;Bacteria
Otu178	0	39	0	0	0	101	45	2	0	316	0	12	0	0	Main genome;Archaea;Nanoarchaeaeota;Woesearchaeia
Otu179	0	0	0	0	0	0	0	0	0	238	0	0	0	0	Main genome;Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halomicrobiaceae
Otu1693	0	0	0	0	0	0	0	6	0	0	0	0	0	0	Main genome;Bacteria;Cloacimonetes;Cloacimonadia;Cloacimonadales;MSBL8
Otu1692	0	0	0	0	0	0	0	2	0	0	0	0	0	0	Main genome;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta 2
Otu1691	0	0	0	0	0	0	0	4	0	1	1	0	0	0	Main genome;Bacteria;BRC1
Otu1690	0	0	0	0	0	0	0	4	0	0	0	0	0	0	Main genome;Bacteria
Otu1697	0	0	0	0	0	0	0	5	0	0	1	0	0	0	Main genome;Bacteria;Gemmatimonadetes;BD2-11 terrestrial group
Otu1696	0	0	0	0	0	0	0	4	0	0	0	0	0	0	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfopila
Otu1695	0	0	1	0	0	0	0	3	0	0	3	1	0	0	Main genome;Bacteria;Cyanobacteria;Oxyphotobacteria;Phormidesmiales;Nodosilineaceae
Otu1694	0	0	0	0	0	0	0	2	0	0	0	0	0	0	Main genome;Bacteria;Chloroflexi;Anaerolineae;SBR1031
Otu109	0	22	257	219	0	1	27	85	0	0	31	3	656	175	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Oceanicaulis
Otu1699	0	0	0	0	0	0	0	11	0	1	2	0	0	0	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Oligoflexales;0319-6G20
Otu1698	0	0	0	0	0	0	0	10	0	2	8	0	0	0	Main genome;Archaea;Nanoarchaeaeota;Woesearchaeia
Otu108	0	2	113	61	0	0	19	0	0	0	0	0	316	29	Main genome;Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;SM1A02
Otu2128	0	0	0	0	0	0	0	0	0	2	0	0	0	0	Main genome;Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halomicrobiaceae;Natronomonas
Otu2129	0	0	0	0	0	0	0	0	0	5	0	0	0	1	Main genome;Archaea;Nanoarchaeaeota;Nanohaloarchaeia;Nanohaloarchaeales;Nanohaloarchaeaceae
Otu2317	0	1	0	0	0	0	0	0	0	1	0	6	0	0	Main genome;Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae
Otu2316	0	0	0	0	0	0	0	1	0	0	2	3	0	0	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio
Otu2315	0	0	0	0	0	0	0	0	0	0	0	2	0	0	Main genome;Archaea;Nanoarchaeaeota;Woesearchaeia
Otu2314	0	0	0	0	0	0	0	0	0	0	0	2	2	0	Chloroplast;Eukaryota (Chloroplast);Archaeplastida (Chloroplast);Chloroplastida (Chloroplast);Chlorophyta (Chloroplast);Chlorophyceae (Chloroplast);Chlamydomonadales (Chloroplast);Asteromonas (Chloroplast);Asteromonas gracilis (Chloroplast)
Otu2313	0	1	0	0	0	0	0	0	0	0	0	3	0	0	Main genome;Bacteria;Patescibacteria;ABY1
Otu2312	0	0	0	2	0	0	2	0	0	1	0	15	0	0	Main genome;Bacteria;Kiritimatiellaeota;Kiritimatiellae;Kiritimatiellales;Kiritimatiellaceae;Kiritimatiella
Otu2311	0	0	0	0	0	0	0	0	0	0	0	2	0	0	Main genome;Bacteria;Planctomycetes;vadinHA49
Otu2310	0	0	0	0	0	0	0	0	0	0	0	2	0	0	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae
Otu2319	0	0	0	0	0	0	0	0	0	0	0	2	0	0	Main genome;Bacteria;Patescibacteria;Microgenomatia
Otu2318	0	1	0	0	0	0	1	0	0	0	0	6	0	0	Main genome;Archaea;Nanoarchaeaeota;Woesearchaeia
Otu1679	0	0	0	0	0	0	0	3	0	0	0	1	0	0	Main genome;Archaea;Nanoarchaeaeota;Woesearchaeia
Otu2125	0	0	0	0	0	0	0	0	0	2	0	0	0	0	Main genome;Archaea;Nanoarchaeaeota;Nanohaloarchaeia;Nanohaloarchaeales;Nanohaloarchaeaceae
Otu291	0	7	0	0	0	0	2	241	0	8	15	0	0	0	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Candidatus Thiobios
Otu290	0	23	0	2	0	0	19	153	0	3	68	73	0	0	Main genome;Bacteria
Otu2289	0	0	0	0	0	0	0	0	0	0	2	0	0	0	Main genome;Bacteria;Chloroflexi;Anaerolineae;SBR1031;A4b
Otu2288	0	0	0	0	0	0	0	1	0	0	3	0	0	0	Main genome;Bacteria;CK-2C2-2
Otu2078	0	0	0	0	0	0	0	0	0	4	1	2	0	0	Main genome;Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;AKAU3564 sediment group
Otu2079	0	0	0	0	0	0	0	0	0	3	0	1	0	0	Main genome;Bacteria
Otu2072	0	0	0	0	0	0	0	0	0	2	0	0	0	0	Main genome;Archaea;Nanoarchaeaeota;Woesearchaeia
Otu2073	0	0	0	0	0	0	0	0	0	2	0	0	0	0	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfohalobiaceae;Desulfovermiculus
Otu2070	0	0	0	0	0	0	1	0	0	2	1	0	0	0	Main genome;Archaea;Nanoarchaeaeota;Woesearchaeia
Otu2071	0	0	0	0	0	0	0	0	0	2	0	0	0	0	Main genome;Archaea;Nanoarchaeaeota;Nanohaloarchaeia;Nanohaloarchaeales;Nanohaloarchaeaceae
Otu2076	0	0	0	0	0	0	0	0	0	2	0	0	0	0	Main genome;Bacteria;Chlamydiae;Chlamydiae (kingdom);Chlamydiales;Parachlamydiaceae;Unknown Parachlamydiaceae order 1
Otu2077	0	0	0	0	0	0	0	0	0	2	0	0	0	0	Main genome;Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Family III
Otu2074	0	0	0	0	0	0	0	0	0	2	0	0	0	0	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Thiohalorhabdales;Thiohalorhabdaceae;Thiohalorhabdus
Otu2075	0	0	0	0	0	0	0	0	0	2	0	0	0	0	Main genome;Bacteria;Patescibacteria;ABY1
Otu493	0	18	3	14	0	0	81	0	0	2	0	3	81	137	Main genome;Archaea;Nanoarchaeaeota;Nanohaloarchaeia;Nanohaloarchaeales;Nanohaloarchaeaceae;Candidatus Haloredivivus
Otu2387	0	1	0	0	0	0	2	0	0	0	0	0	0	9	Main genome;Bacteria
Otu2278	0	0	0	0	0	0	0	0	0	0	2	0	0	0	Main genome;Archaea;Euryarchaeota;Thermoplasmata;Marine Benthic Group D and DHVEG-1
Otu2279	0	0	0	0	0	0	0	2	0	0	5	1	0	0	Main genome;Archaea;Euryarchaeota;Thermoplasmata
Otu2274	0	0	0	0	0	0	0	0	0	0	4	0	0	0	Main genome;Bacteria;Patescibacteria;ABY1
Otu2275	0	0	0	0	0	0	0	0	0	0	3	1	0	1	Main genome;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta 2
Otu2276	0	0	0	0	0	0	0	1	0	0	3	0	0	0	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio
Otu2277	0	0	0	0	0	0	0	0	0	0	2	0	0	0	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;SB-5
Otu2270	0	1	0	0	0	0	0	1	0	1	3	2	0	0	Main genome;Bacteria;LCP-89
Otu2271	0	0	0	0	0	0	0	0	0	0	2	0	0	0	Main genome;Bacteria;Kiritimatiellaeota;Kiritimatiellae;WCHB1-41
Otu2272	0	0	0	0	0	0	0	0	0	0	2	0	0	0	Main genome;Bacteria
Otu2273	0	0	0	0	0	0	0	0	0	0	2	0	0	0	Main genome;Archaea;Nanoarchaeaeota;Woesearchaeia
Otu1510	0	0	0	0	0	0	2	0	0	0	0	0	0	0	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae
Otu1511	0	0	0	1	0	0	7	2	0	0	0	5	0	9	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiliaceae;Anaerophaga
Otu1512	0	0	0	0	0	0	5	5	0	0	2	0	0	0	Main genome;Archaea;Nanoarchaeaeota;Woesearchaeia
Otu1513	0	3	0	1	0	0	4	6	0	2	6	7	0	0	Main genome;Bacteria;Planctomycetes;Phycisphaerae;MSBL9;ST-NAGAB-D1
Otu1514	0	1	0	0	0	0	3	0	0	0	0	0	0	0	Main genome;Bacteria;Planctomycetes;Pla3 lineage
Otu1515	0	5	0	0	0	0	5	0	0	0	0	10	0	0	Main genome;Bacteria;Bacteroidetes;Ignavibacteria;OPB56
Otu1516	0	0	0	0	0	0	3	0	0	0	0	0	0	1	Main genome;Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Roseibacillus
Otu1517	0	0	0	1	0	0	5	0	0	0	0	0	0	2	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfocella
Otu1518	0	3	0	0	0	0	7	0	0	0	0	2	0	0	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae
Otu1519	0	0	0	1	0	0	5	0	0	0	0	1	0	0	Main genome;Bacteria;Kiritimatiellaeota;Kiritimatiellae;WCHB1-41
Otu2094	0	0	0	0	0	0	0	0	0	7	0	0	0	1	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Bradymonadales;Bradymonadaceae
Otu2095	0	0	0	0	0	0	0	0	0	2	0	0	0	0	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiliaceae
Otu2096	0	0	0	0	0	0	0	0	0	2	0	0	0	0	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfohalobiaceae;Desulfovermiculus
Otu2097	0	0	0	0	0	0	0	0	0	2	0	0	0	0	No hits
Otu2090	0	1	0	0	0	0	1	0	0	2	0	2	0	0	Main genome;Bacteria;Planctomycetes;vadinHA49
Otu2091	0	0	0	0	0	0	0	0	0	2	0	0	0	0	Main genome;Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;SM1A02
Otu2092	0	0	0	0	0	0	0	0	0	2	0	0	0	0	Main genome;Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae
Otu2093	0	2	0	7	0	1	6	2	0	17	2	2	10	6	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas
Otu2098	0	0	0	0	0	0	0	0	0	2	0	0	0	0	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Thiohalorhabdales;Thiohalorhabdaceae;Thiohalorhabdus
Otu2099	0	0	0	0	0	0	0	0	0	4	0	0	0	0	Main genome;Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halomicrobiaceae;Candidatus Halobonum
Otu2604	0	0	0	0	0	0	0	3	0	2	1	0	0	0	Main genome;Bacteria;Planctomycetes;Phycisphaerae;DG-20
Otu529	0	29	0	0	0	0	0	78	0	4	43	20	0	0	Main genome;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae
Otu528	0	4	0	1	0	5	3	54	0	18	6	11	0	0	Main genome;Bacteria;Marinimicrobia (SAR406 clade)
Otu1208	0	1	1	0	0	0	0	2	0	1	0	7	0	1	Main genome;Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloferacaceae
Otu1209	0	0	0	0	0	0	0	0	0	0	0	20	0	0	Main genome;Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halobacteroidaceae;Sporohalobacter
Otu1204	0	1	1	0	0	0	4	0	0	0	0	13	0	3	Main genome;Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloferacaceae;Halorussus
Otu1205	0	13	0	0	0	0	2	29	0	40	15	41	0	2	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prolixibacteraceae
Otu1206	0	6	0	0	0	0	0	0	0	0	0	35	2	0	Main genome;Bacteria;Patescibacteria;ABY1
Otu1207	0	1	0	0	0	0	3	0	0	0	0	19	0	0	Main genome;Archaea;Nanoarchaeaeota;Woesearchaeia
Otu1200	0	0	0	0	0	0	0	2	0	0	16	0	0	0	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae
Otu1201	0	0	5	41	0	10	11	96	0	17	63	17	16	6	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
Otu1202	0	9	0	0	0	0	0	17	0	17	31	40	0	0	Main genome;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidetes BD2-2
Otu1203	0	1	0	0	0	0	0	1	0	1	0	7	0	0	Main genome;Bacteria;Patescibacteria;Microgenomatia
